id_venta,fecha,id_cliente,cliente,email,ciudad,alta,id_producto,producto,categoria,cantidad,precio_unitario,importe,importe_std,medio_pago_efectivo,medio_pago_qr,medio_pago_tarjeta,medio_pago_transferencia,precio
1,19-06-2024,62,Guadalupe Romero,guadalupe.romero@mail.com,Carlos Paz,03-03-2023,90,Toallas Húmedas x50,Limpieza,1,2902.0,2902.0,-0.9182589695353444,False,False,True,False,2902.0
2,17-03-2024,49,Olivia Gomez,olivia.gomez@mail.com,Rio Cuarto,18-02-2023,82,Aceitunas Negras 200g,Limpieza,5,2394.0,11970.0,0.8063964935333122,False,True,False,False,2394.0
2,17-03-2024,49,Olivia Gomez,olivia.gomez@mail.com,Rio Cuarto,18-02-2023,39,Helado Vainilla 1L,Alimentos,5,469.0,2345.0,-1.0241955699907084,False,True,False,False,469.0
2,17-03-2024,49,Olivia Gomez,olivia.gomez@mail.com,Rio Cuarto,18-02-2023,70,Fernet 750ml,Limpieza,2,4061.0,8122.0,0.07454005089015053,False,True,False,False,4061.0
2,17-03-2024,49,Olivia Gomez,olivia.gomez@mail.com,Rio Cuarto,18-02-2023,22,Medialunas de Manteca,Limpieza,1,2069.0,2069.0,-1.0766883917603323,False,True,False,False,2069.0
2,17-03-2024,49,Olivia Gomez,olivia.gomez@mail.com,Rio Cuarto,18-02-2023,79,Hamburguesas Congeladas x4,Alimentos,4,2420.0,9680.0,0.3708582259520128,False,True,False,False,2420.0
3,13-01-2024,20,Tomas Acosta,tomas.acosta@mail.com,Rio Cuarto,20-01-2023,9,Yerba Mate Suave 1kg,Alimentos,2,3878.0,7756.0,0.00493000463043192,False,False,True,False,3878.0
3,13-01-2024,20,Tomas Acosta,tomas.acosta@mail.com,Rio Cuarto,20-01-2023,2,Pepsi 1.5L,Limpieza,2,4973.0,9946.0,0.4214491338894039,False,False,True,False,4973.0
3,13-01-2024,20,Tomas Acosta,tomas.acosta@mail.com,Rio Cuarto,20-01-2023,85,Jugo en Polvo Naranja,Alimentos,1,1856.0,1856.0,-1.11719915638689,False,False,True,False,1856.0
4,27-02-2024,36,Martina Molina,martina.molina@mail.com,Mendiolaza,05-02-2023,4,Fanta Naranja 1.5L,Limpieza,2,2033.0,4066.0,-0.6968761994634524,False,False,False,True,2033.0
4,27-02-2024,36,Martina Molina,martina.molina@mail.com,Mendiolaza,05-02-2023,23,Bizcochos Salados,Alimentos,5,2380.0,11900.0,0.7930830967076831,False,False,False,True,2380.0
5,11-06-2024,56,Bruno Diaz,bruno.diaz@mail.com,Rio Cuarto,25-02-2023,86,Jugo en Polvo Limón,Limpieza,4,4090.0,16360.0,1.641336665883489,False,False,True,False,4090.0
6,05-05-2024,91,Uma Sanchez,uma.sanchez@mail.com,Mendiolaza,01-04-2023,25,Galletitas Vainilla,Alimentos,2,4015.0,8030.0,0.05704244363360924,False,False,False,True,4015.0
6,05-05-2024,91,Uma Sanchez,uma.sanchez@mail.com,Mendiolaza,01-04-2023,31,Mix de Frutos Secos 200g,Alimentos,3,3409.0,10227.0,0.47489291257514415,False,False,False,True,3409.0
6,05-05-2024,91,Uma Sanchez,uma.sanchez@mail.com,Mendiolaza,01-04-2023,83,Queso Untable 190g,Alimentos,1,1830.0,1830.0,-1.122144132350695,False,False,False,True,1830.0
6,05-05-2024,91,Uma Sanchez,uma.sanchez@mail.com,Mendiolaza,01-04-2023,59,Chicle Menta,Alimentos,4,3612.0,14448.0,1.2776907411605873,False,False,False,True,3612.0
7,06-05-2024,92,Mariana Rodriguez,mariana.rodriguez@mail.com,Alta Gracia,02-04-2023,63,Granola 250g,Alimentos,3,4337.0,13011.0,1.0043857234687414,True,False,False,False,4337.0
8,06-01-2024,66,Tomas Herrera,tomas.herrera@mail.com,Villa Maria,07-03-2023,53,Lavandina 1L,Alimentos,5,1664.0,8320.0,0.11219794476835895,False,False,False,True,1664.0
8,06-01-2024,66,Tomas Herrera,tomas.herrera@mail.com,Villa Maria,07-03-2023,18,Queso Rallado 150g,Limpieza,4,3444.0,13776.0,1.1498821316345467,False,False,False,True,3444.0
8,06-01-2024,66,Tomas Herrera,tomas.herrera@mail.com,Villa Maria,07-03-2023,68,Vino Blanco 750ml,Limpieza,5,2684.0,13420.0,1.082173999207061,False,False,False,True,2684.0
9,20-01-2024,86,Diego Torres,diego.torres@mail.com,Cordoba,27-03-2023,65,Cerveza Rubia 1L,Alimentos,4,2423.0,9692.0,0.3731405225506921,True,False,False,False,2423.0
10,28-05-2024,52,Diego Diaz,diego.diaz@mail.com,Rio Cuarto,21-02-2023,36,Dulce de Leche 400g,Limpieza,2,2559.0,5118.0,-0.4967948643125672,False,True,False,False,2559.0
10,28-05-2024,52,Diego Diaz,diego.diaz@mail.com,Rio Cuarto,21-02-2023,100,Trapo de Piso,Limpieza,4,4854.0,19416.0,2.222561533013817,False,True,False,False,4854.0
10,28-05-2024,52,Diego Diaz,diego.diaz@mail.com,Rio Cuarto,21-02-2023,37,Mermelada de Durazno 400g,Alimentos,3,3196.0,9588.0,0.35336061869547153,False,True,False,False,3196.0
10,28-05-2024,52,Diego Diaz,diego.diaz@mail.com,Rio Cuarto,21-02-2023,62,Stevia 100 sobres,Limpieza,1,3848.0,3848.0,-0.7383379210061263,False,True,False,False,3848.0
11,10-04-2024,20,Tomas Acosta,tomas.acosta@mail.com,Rio Cuarto,20-01-2023,13,Té Verde 20 saquitos,Alimentos,1,2383.0,2383.0,-1.016968297428224,False,True,False,False,2383.0
11,10-04-2024,20,Tomas Acosta,tomas.acosta@mail.com,Rio Cuarto,20-01-2023,65,Cerveza Rubia 1L,Alimentos,2,2423.0,4846.0,-0.548526920549298,False,True,False,False,2423.0
11,10-04-2024,20,Tomas Acosta,tomas.acosta@mail.com,Rio Cuarto,20-01-2023,28,Papas Fritas Clásicas 100g,Limpieza,1,936.0,936.0,-1.2921752289523027,False,True,False,False,936.0
12,28-06-2024,96,Rocio Gonzalez,rocio.gonzalez@mail.com,Cordoba,06-04-2023,72,Ron 700ml,Limpieza,2,3876.0,7752.0,0.004169239097538821,True,False,False,False,3876.0
12,28-06-2024,96,Rocio Gonzalez,rocio.gonzalez@mail.com,Cordoba,06-04-2023,50,Azúcar 1kg,Limpieza,2,727.0,1454.0,-1.1936560924426465,True,False,False,False,727.0
12,28-06-2024,96,Rocio Gonzalez,rocio.gonzalez@mail.com,Cordoba,06-04-2023,56,Papel Higiénico x4,Limpieza,3,2532.0,7596.0,-0.02550061668529206,True,False,False,False,2532.0
12,28-06-2024,96,Rocio Gonzalez,rocio.gonzalez@mail.com,Cordoba,06-04-2023,87,Sopa Instantánea Pollo,Alimentos,3,1679.0,5037.0,-0.5122003663536525,True,False,False,False,1679.0
12,28-06-2024,96,Rocio Gonzalez,rocio.gonzalez@mail.com,Cordoba,06-04-2023,38,Mermelada de Frutilla 400g,Limpieza,4,1584.0,6336.0,-0.2651417595466184,True,False,False,False,1584.0
13,24-01-2024,6,Uma Medina,uma.medina@mail.com,Villa Maria,06-01-2023,87,Sopa Instantánea Pollo,Alimentos,1,1679.0,1679.0,-1.1508630312174095,False,False,True,False,1679.0
13,24-01-2024,6,Uma Medina,uma.medina@mail.com,Villa Maria,06-01-2023,81,Aceitunas Verdes 200g,Alimentos,3,2520.0,7560.0,-0.03234750648132995,False,False,True,False,2520.0
13,24-01-2024,6,Uma Medina,uma.medina@mail.com,Villa Maria,06-01-2023,13,Té Verde 20 saquitos,Alimentos,1,2383.0,2383.0,-1.016968297428224,False,False,True,False,2383.0
14,18-04-2024,67,Ivana Romero,ivana.romero@mail.com,Alta Gracia,08-03-2023,36,Dulce de Leche 400g,Limpieza,4,2559.0,10236.0,0.4766046350241536,False,True,False,False,2559.0
